SKUID,23-02-2019,24-02-2019,25-02-2019,26-02-2019,27-02-2019,28-02-2019,01-03-2019,02-03-2019,03-03-2019,04-03-2019,05-03-2019,06-03-2019,07-03-2019,08-03-2019
1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004,2.67,0.34,0.66,0.31,0.41,0.3,0.12,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1016,1.83,0.81,0.53,0.75,0.43,0.32,0.16,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,0.0,0.0,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03
1039,0.1,0.01,0.06,0.08,0.13,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048,7.08,2.2,1.69,1.13,0.59,0.35,0.18,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1053,6.88,2.15,2.0,1.83,0.77,0.35,0.2,0.08,0.06,0.04,0.03,0.03,0.03,0.03
1054,0.15,0.09,0.1,0.07,0.09,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1056,1.22,0.61,0.37,0.28,0.18,0.15,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058,0.13,0.1,0.1,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1059,0.22,0.36,0.17,0.12,0.12,0.09,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03
1060,1.92,0.92,0.5,0.43,0.31,0.13,0.08,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1061,7.83,2.59,1.22,0.89,0.72,0.35,0.17,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1062,0.1,0.07,0.05,0.08,0.08,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1063,44.42,3.74,1.76,1.66,1.01,0.53,0.21,0.09,0.08,0.04,0.03,0.03,0.03,0.03
1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,2.67,1.09,1.04,1.12,0.56,0.33,0.18,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067,3.29,1.45,1.0,1.22,0.76,0.33,0.19,0.08,0.07,0.04,0.03,0.03,0.03,0.03
1069,2.3,1.24,0.9,1.24,0.59,0.31,0.16,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071,3.15,1.6,0.98,1.03,0.54,0.24,0.13,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1072,3.02,0.66,1.01,1.23,0.64,0.31,0.15,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1073,12.42,5.68,2.16,1.38,0.81,0.42,0.21,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1074,5.11,1.98,1.69,0.86,0.39,0.27,0.14,0.08,0.04,0.04,0.03,0.03,0.03,0.03
1075,0.11,0.17,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,0.56,0.3,0.27,0.2,0.14,0.08,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1080,2.43,1.3,0.99,1.31,0.53,0.26,0.15,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1083,0.09,0.05,0.09,0.1,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1085,1.15,0.66,0.44,0.43,0.19,0.13,0.08,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1087,2.11,0.83,0.87,0.53,0.24,0.17,0.11,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1088,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,9.74,3.11,1.49,0.99,0.57,0.31,0.14,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1092,3.64,0.98,0.76,1.11,0.86,0.28,0.15,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095,4.66,1.42,1.09,0.93,0.96,0.26,0.15,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,13.48,5.87,2.32,1.79,0.8,0.49,0.19,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1103,1.87,1.27,1.06,0.95,0.39,0.24,0.14,0.08,0.04,0.04,0.03,0.03,0.03,0.03
1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,0.4,0.36,0.22,0.16,0.14,0.08,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1107,7.91,2.12,1.31,1.07,0.68,0.3,0.14,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1109,2.01,1.6,1.03,0.66,0.37,0.23,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1110,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,2.0,1.77,0.86,0.62,0.37,0.24,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1114,3.47,1.52,1.23,0.73,0.58,0.23,0.11,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1116,2.72,1.36,1.53,1.78,0.74,0.3,0.17,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1117,2.95,1.5,0.78,0.75,0.41,0.24,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1119,1.3,0.62,0.44,0.37,0.21,0.11,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1120,40.39,6.94,3.15,1.93,1.01,0.52,0.24,0.1,0.05,0.04,0.03,0.03,0.03,0.03
1122,0.53,0.36,0.3,0.27,0.13,0.08,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1123,12.71,10.22,3.87,1.84,0.77,0.5,0.23,0.11,0.05,0.04,0.03,0.03,0.03,0.03
1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,2.12,1.43,0.82,0.92,0.38,0.23,0.11,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1126,2.12,1.06,0.77,0.88,0.36,0.25,0.11,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1129,2.86,1.27,0.98,0.8,0.4,0.23,0.11,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1132,4.8,1.35,1.5,1.85,1.07,0.48,0.21,0.08,0.06,0.04,0.03,0.03,0.03,0.03
1133,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1135,14.3,7.87,3.06,1.55,0.84,0.54,0.23,0.1,0.04,0.04,0.03,0.03,0.03,0.03
1136,0.92,0.46,0.39,0.2,0.13,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1138,0.54,0.41,0.31,0.19,0.1,0.1,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1140,8.0,1.5,1.41,1.07,0.69,0.32,0.14,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1142,1.46,0.6,0.55,0.27,0.22,0.1,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1144,2.84,1.89,1.2,0.85,0.47,0.31,0.12,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1145,7.3,2.23,1.67,1.17,0.73,0.32,0.16,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1146,162.24,28.04,7.38,2.56,1.61,0.88,0.36,0.19,0.08,0.05,0.04,0.03,0.03,0.03
1147,1.26,0.84,0.56,0.37,0.27,0.1,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1149,7.45,2.01,1.42,1.05,0.57,0.26,0.12,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1150,4.01,1.2,1.07,1.04,0.79,0.33,0.15,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1151,2.71,1.19,1.11,1.19,0.63,0.38,0.17,0.09,0.04,0.04,0.03,0.03,0.03,0.03
1152,2.02,0.61,0.66,0.38,0.25,0.1,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1154,0.16,0.08,0.11,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1174,0.15,0.17,0.08,0.08,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1176,0.05,0.11,0.11,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1177,0.23,0.1,0.1,0.11,0.1,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1178,6.85,2.56,1.99,1.15,0.67,0.31,0.14,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1182,0.61,0.33,0.37,0.24,0.08,0.07,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03
